사업소,호기,일자,황산화물(ppm)기준,황산화물(ppm)평균,질소산화물(ppm)기준,질소산화물(ppm)평균,먼지(㎎/S㎥)기준,먼지(㎎/S㎥)평균,월,NOX_일평균,SOX_일평균,먼지,산소,유량,온도
영흥,4호기,202410,25.0,15.4,15.0,11.4,5.0,1.4,202410,11.113225806451613,15.069354838709677,5.60741935483871,5.39483870967742,205663.3029032258,82.9841935483871
삼천포,5A호기,202410,25.0,9.7,15.0,9.3,5.0,1.8,202410,6.425161290322581,14.066129032258065,92.35548387096775,11.335806451612902,46500.62870967742,63.64677419354839
삼천포,5B호기,202410,25.0,9.7,15.0,9.3,5.0,1.8,202410,2.13258064516129,9.114516129032259,326.008064516129,11.408064516129032,39472.45064516129,64.21774193548387
삼천포,6A호기,202410,25.0,9.7,15.0,9.3,5.0,1.8,202410,6.421290322580645,18.153225806451612,127.74967741935482,13.306774193548387,36060.99064516129,66.93935483870968
삼천포,6B호기,202410,25.0,9.7,15.0,9.3,5.0,1.8,202410,3.9664516129032257,17.124193548387098,72.66064516129032,13.166451612903227,39049.98645161291,64.52677419354839
삼천포,3A호기,202409,70.0,18.8,140.0,31.2,25.0,3.7,202409,31.46833333333333,15.868666666666666,31.007,7.719666666666667,60700.257666666665,90.42733333333334
삼천포,3B호기,202409,70.0,18.8,140.0,31.2,25.0,3.7,202409,28.541666666666668,23.028000000000002,67.426,7.54,62146.488999999994,91.80199999999999
삼천포,4A호기,202409,70.0,18.8,140.0,31.2,25.0,3.7,202409,127.89333333333335,11.808,286.812,20.551333333333332,1510.912,33.47
삼천포,4B호기,202409,70.0,18.8,140.0,31.2,25.0,3.7,202409,15.006333333333334,1.9056666666666666,197.47833333333335,20.48933333333333,2314.200333333333,32.729
삼천포,5A호기,202409,140.0,9.4,140.0,2.1,25.0,0.9,202409,2.674,7.424666666666667,70.39666666666668,10.237,61746.68,72.50933333333334
삼천포,5B호기,202409,140.0,9.4,140.0,2.1,25.0,0.9,202409,2.543,8.227666666666666,36.126,10.316,46156.893000000004,71.838
삼천포,6A호기,202409,140.0,9.4,140.0,2.1,25.0,0.9,202409,3.8243333333333336,13.479999999999999,211.12566666666666,10.035,51117.164333333334,76.071
삼천포,6B호기,202409,140.0,9.4,140.0,2.1,25.0,0.9,202409,3.8706666666666667,8.948666666666666,26.225666666666665,9.865666666666668,54890.62033333334,74.65533333333333
영흥,1호기,202409,45.0,1.5,55.0,10.2,20.0,2.8,202409,2.5866666666666664,18.699666666666666,668.2006666666667,21.016666666666666,35.21333333333334,23.617
영흥,2호기,202409,45.0,1.5,55.0,10.2,20.0,2.8,202409,0.36966666666666664,12.999666666666666,359.299,20.905666666666665,84.49499999999999,24.030666666666665
영흥,3호기,202409,25.0,15.4,15.0,11.8,5.0,1.7,202409,7.406000000000001,9.590333333333332,159.01933333333332,11.721,124191.40666666668,63.769666666666666
영흥,4호기,202409,25.0,15.4,15.0,11.8,5.0,1.7,202409,11.414,15.261666666666665,1.5726666666666667,4.8036666666666665,222313.325,87.76566666666666
삼천포,5A호기,202409,25.0,9.0,15.0,9.4,5.0,1.5,202409,2.674,7.424666666666667,70.39666666666668,10.237,61746.68,72.50933333333334
삼천포,5B호기,202409,25.0,9.0,15.0,9.4,5.0,1.5,202409,2.543,8.227666666666666,36.126,10.316,46156.893000000004,71.838
삼천포,6A호기,202409,25.0,9.0,15.0,9.4,5.0,1.5,202409,3.8243333333333336,13.479999999999999,211.12566666666666,10.035,51117.164333333334,76.071
삼천포,6B호기,202409,25.0,9.0,15.0,9.4,5.0,1.5,202409,3.8706666666666667,8.948666666666666,26.225666666666665,9.865666666666668,54890.62033333334,74.65533333333333
삼천포,3A호기,202408,70.0,18.6,140.0,31.7,25.0,4.4,202408,31.003548387096775,15.218709677419357,5.239677419354839,6.805806451612903,65186.854838709674,94.68354838709678
삼천포,3B호기,202408,70.0,18.6,140.0,31.7,25.0,4.4,202408,29.350322580645162,21.115483870967743,5.411612903225806,6.622580645161291,67719.94064516129,96.85935483870968
삼천포,4A호기,202408,70.0,18.6,140.0,31.7,25.0,4.4,202408,35.88677419354839,28.606129032258064,69.47483870967743,7.679354838709678,52271.23516129032,74.49225806451612
삼천포,4B호기,202408,70.0,18.6,140.0,31.7,25.0,4.4,202408,28.96,13.408387096774195,72.90032258064515,7.694516129032258,67159.3735483871,73.21967741935484
삼천포,5A호기,202408,140.0,8.7,140.0,2.1,25.0,0.7,202408,2.5925806451612905,7.735806451612904,2.258387096774194,6.086129032258064,74574.97903225807,83.42193548387097
삼천포,5B호기,202408,140.0,8.7,140.0,2.1,25.0,0.7,202408,2.562258064516129,8.041935483870967,7.535483870967742,6.361290322580645,62070.79580645161,83.17935483870967
삼천포,6A호기,202408,140.0,8.7,140.0,2.1,25.0,0.7,202408,3.8245161290322582,9.930967741935484,33.049032258064514,7.920645161290322,58879.323548387096,73.2925806451613
삼천포,6B호기,202408,140.0,8.7,140.0,2.1,25.0,0.7,202408,4.453548387096775,7.771935483870968,13.13967741935484,7.258387096774193,64468.205161290316,79.39741935483872
영흥,1호기,202408,45.0,1.5,55.0,9.7,20.0,2.8,202408,6.175,15.399333333333335,667.7743333333333,21.023666666666667,32.26766666666666,26.334666666666667
영흥,2호기,202408,45.0,1.5,55.0,9.7,20.0,2.8,202408,1.1436666666666668,1.6119999999999999,579.126,20.944333333333336,53.397333333333336,26.714333333333332
영흥,3호기,202408,25.0,16.7,15.0,12.0,5.0,1.9,202408,12.306333333333333,16.928333333333335,2.0923333333333334,5.410666666666667,221117.906,88.257
영흥,4호기,202408,25.0,16.7,15.0,12.0,5.0,1.9,202408,11.629999999999999,16.526,1.7660000000000002,4.992666666666667,226637.72766666667,89.05
삼천포,5A호기,202408,25.0,9.4,15.0,9.5,5.0,1.6,202408,2.5925806451612905,7.735806451612904,2.258387096774194,6.086129032258064,74574.97903225807,83.42193548387097
삼천포,5B호기,202408,25.0,9.4,15.0,9.5,5.0,1.6,202408,2.562258064516129,8.041935483870967,7.535483870967742,6.361290322580645,62070.79580645161,83.17935483870967
삼천포,6A호기,202408,25.0,9.4,15.0,9.5,5.0,1.6,202408,3.8245161290322582,9.930967741935484,33.049032258064514,7.920645161290322,58879.323548387096,73.2925806451613
삼천포,6B호기,202408,25.0,9.4,15.0,9.5,5.0,1.6,202408,4.453548387096775,7.771935483870968,13.13967741935484,7.258387096774193,64468.205161290316,79.39741935483872
삼천포,3A호기,202407,70.0,17.0,140.0,32.4,25.0,3.2,202407,35.69967741935484,9.848064516129034,32.32064516129032,11.803870967741936,42155.067741935476,70.82096774193548
삼천포,3B호기,202407,70.0,17.0,140.0,32.4,25.0,3.2,202407,35.40032258064517,16.04290322580645,27.833548387096776,11.643870967741936,43517.382580645164,71.7783870967742
삼천포,4A호기,202407,70.0,17.0,140.0,32.4,25.0,3.2,202407,33.13870967741936,20.2241935483871,394.1151612903226,9.755806451612903,42598.96677419355,67.60935483870968
삼천포,4B호기,202407,70.0,17.0,140.0,32.4,25.0,3.2,202407,25.89741935483871,9.328387096774193,187.4974193548387,9.84451612903226,54433.35838709678,65.64483870967742
삼천포,5A호기,202407,140.0,9.8,140.0,1.8,25.0,0.8,202407,1.9293548387096775,7.789354838709677,1.3025806451612905,5.986451612903226,68446.55451612904,82.62612903225806
삼천포,5B호기,202407,140.0,9.8,140.0,1.8,25.0,0.8,202407,2.121935483870968,9.589677419354837,0.8325806451612903,5.898387096774194,61669.13838709678,82.33387096774193
삼천포,6A호기,202407,140.0,9.8,140.0,1.8,25.0,0.8,202407,4.527096774193549,9.740645161290322,38.17935483870968,9.798709677419355,48921.648709677414,66.70387096774193
삼천포,6B호기,202407,140.0,9.8,140.0,1.8,25.0,0.8,202407,4.875806451612903,8.615806451612903,25.883225806451613,9.66451612903226,52251.942903225805,79.16
영흥,1호기,202407,45.0,1.5,55.0,10.3,20.0,2.9,202407,5.304838709677419,16.496774193548386,704.6583870967742,21.024193548387096,52.16709677419355,23.305806451612902
영흥,2호기,202407,45.0,1.5,55.0,10.3,20.0,2.9,202407,0.5267741935483872,3.3248387096774192,507.7664516129032,20.928709677419352,94.03225806451613,23.710967741935484
영흥,3호기,202407,25.0,17.3,15.0,11.9,5.0,1.9,202407,12.186451612903225,17.47193548387097,1.9793548387096773,5.196129032258065,223898.06193548386,87.34096774193549
영흥,4호기,202407,25.0,17.3,15.0,11.9,5.0,1.9,202407,17.53258064516129,17.36741935483871,141.83193548387098,8.156774193548388,173745.41741935484,80.26451612903226
삼천포,5A호기,202407,25.0,9.8,15.0,9.5,5.0,1.3,202407,1.9293548387096775,7.789354838709677,1.3025806451612905,5.986451612903226,68446.55451612904,82.62612903225806
삼천포,5B호기,202407,25.0,9.8,15.0,9.5,5.0,1.3,202407,2.121935483870968,9.589677419354837,0.8325806451612903,5.898387096774194,61669.13838709678,82.33387096774193
삼천포,6A호기,202407,25.0,9.8,15.0,9.5,5.0,1.3,202407,4.527096774193549,9.740645161290322,38.17935483870968,9.798709677419355,48921.648709677414,66.70387096774193
삼천포,6B호기,202407,25.0,9.8,15.0,9.5,5.0,1.3,202407,4.875806451612903,8.615806451612903,25.883225806451613,9.66451612903226,52251.942903225805,79.16
삼천포,3A호기,202406,70.0,18.1,140.0,33.2,25.0,3.6,202406,49.36633333333334,14.323666666666666,105.29400000000001,20.980999999999998,6.419333333333333,23.858
삼천포,3B호기,202406,70.0,18.1,140.0,33.2,25.0,3.6,202406,7.1693333333333324,14.559,91.078,20.985,34.48833333333334,23.422666666666665
삼천포,4A호기,202406,70.0,18.1,140.0,33.2,25.0,3.6,202406,33.49,25.270666666666667,23.599666666666668,7.34,52089.68066666667,72.81733333333334
삼천포,4B호기,202406,70.0,18.1,140.0,33.2,25.0,3.6,202406,29.267,11.694666666666667,7.616333333333333,7.322333333333333,68373.35133333334,71.08766666666666
삼천포,5A호기,202406,140.0,9.1,140.0,2.8,25.0,1.1,202406,10.377666666666666,36.686,66.79333333333334,20.272,2728.952333333333,38.04866666666667
삼천포,5B호기,202406,140.0,9.1,140.0,2.8,25.0,1.1,202406,11.278,42.03866666666667,18.563333333333333,20.289666666666665,5406.123333333334,37.80166666666666
삼천포,6A호기,202406,140.0,9.1,140.0,2.8,25.0,1.1,202406,2.7203333333333335,9.624333333333334,5.192333333333334,7.147666666666667,43835.62333333333,70.11766666666668
삼천포,6B호기,202406,140.0,9.1,140.0,2.8,25.0,1.1,202406,2.904333333333333,8.146333333333333,3.437,6.993666666666667,50851.46433333333,82.77066666666666
영흥,1호기,202406,45.0,1.6,55.0,10.0,20.0,3.1,202406,15.986,4.260666666666666,644.4383333333334,21.023666666666667,25.053333333333335,19.076666666666664
영흥,2호기,202406,45.0,1.6,55.0,10.0,20.0,3.1,202406,1.0826666666666667,11.185333333333334,516.5866666666667,20.952,43.12,19.721333333333334
영흥,3호기,202406,25.0,15.9,15.0,10.8,5.0,1.7,202406,8.476666666666667,9.96,113.45133333333334,10.744333333333334,135488.56333333332,68.286
영흥,4호기,202406,25.0,15.9,15.0,10.8,5.0,1.7,202406,9.639666666666667,14.945666666666666,1.5473333333333334,5.177333333333333,211212.92766666666,88.49266666666668
삼천포,5A호기,202406,25.0,9.5,15.0,9.5,5.0,1.8,202406,10.377666666666666,36.686,66.79333333333334,20.272,2728.952333333333,38.04866666666667
삼천포,5B호기,202406,25.0,9.5,15.0,9.5,5.0,1.8,202406,11.278,42.03866666666667,18.563333333333333,20.289666666666665,5406.123333333334,37.80166666666666
